gender,age,Status in life,Relationships,The causes of stress,sharing,best sharing,frequency,Stress you have experienced in the past and affecting you today,Stress that affected your health
1,18-28,1,1,זוגיות;מצב כלכלי;משפחה;בריאות;הרצון להגיע להישיגים,0,1;2,כל יום,לא,0
0,18-28,1,0,מצב כלכלי;לימודים,0,1,אחת לשבוע,כן במידה מועטה,0
0,18-28,1,1,מצב כלכלי;לימודים;דימוי גוף,0,1;2,אחת לחודש,לא,0
1,18-28,3,0,הפן החברתי;לימודים;הרצון להגיע להישיגים,0,1,אחת לשבוע,כן במידה מועטה,1
1,18-28,1,0,הרצון להגיע להישיגים,0,1,פעם במספר חודשים או יותר,לא,0
0,18-28,1,1,זוגיות;מצב כלכלי;לימודים;עבודה;דימוי גוף;הרצון להגיע להישיגים,0,1;2,אחת לחודש,כן במידה מועטה,0
0,18-28,1,1,זוגיות;מצב כלכלי,0,1,אחת לשבוע,כן במידה מועטה,1
0,18-28,1,1,זוגיות;לימודים;משפחה,1,1,אחת לחודש,כן במידה מועטה,1
0,18-28,1,1,מצב כלכלי;לימודים;בריאות;הרצון להגיע להישיגים,0,1;2,אחת לחודש,כן במידה מועטה,0
1,18-28,1,0,זוגיות;לימודים;עבודה,0,1,פעם במספר חודשים או יותר,לא,0
0,18-28,1,0,לימודים;עבודה;הרצון להגיע להישיגים,0,1;2,פעם במספר חודשים או יותר,לא,1
1,18-28,1,1,זוגיות;מצב כלכלי;לימודים;הרצון להגיע להישיגים,0,1,אחת לחודש,לא,0
0,18-28,1,0,לימודים;הרצון להגיע להישיגים,0,1,פעם במספר חודשים או יותר,לא,0
1,18-28,1,1,זוגיות;לימודים,0,1;2,פעם במספר חודשים או יותר,כן במידה רבה,1
1,18-28,1,1,לימודים;בריאות,0,1;2;3,אחת לחודש,כן במידה רבה,1
1,18-28,1,1,זוגיות;לימודים;הרצון להגיע להישיגים,0,1;2,פעם במספר חודשים או יותר,לא,0
0,18-28,1,1,לימודים;הרצון להגיע להישיגים,0,1,אחת לשבוע,כן במידה מועטה,1
